,0
0,5.7053296753452525
1,10.799056522597857
2,15.415057570778679
3,19.853148157324654
4,23.763132031906984
5,27.21546599619817
6,30.354866704999484
7,33.50431185805008
8,36.90590177319202
9,40.54597314369232
10,44.24965033092987
11,48.33420108441223
12,52.510257740751854
13,56.72073644900923
14,61.10295466560979
15,65.65481628027545
16,70.1802489378355
17,74.59236892093185
18,79.23672775459137
19,84.51849535087207
20,90.63454965015455
21,97.66788559199256
22,105.38350946924372
23,113.50593700215448
24,121.47119836356242
25,129.28507159732192
26,136.8020551709297
27,144.20995775897438
28,151.15327605845783
29,157.14065397609167
30,162.06083077301867
31,165.59993222253604
32,167.09737794635987
33,167.00015045713582
34,165.84887110015998
35,163.9558212387255
36,161.30367755401136
37,158.28818192584805
38,155.37813722551755
39,152.57088838423158
40,150.00091683316072
41,147.50276724393856
42,145.15327037097148
43,142.9495537335471
44,140.76224217724968
45,138.4183839669999
46,136.32926957061517
47,134.7760015718053
48,133.88170146057786
49,133.61862231448066
50,133.95759343893764
51,134.70897665154567
52,135.48798883184227
53,136.22536353988488
54,136.72736205032476
55,137.00725695429907
56,136.89478944951858
57,136.79694272035954
58,136.15253626113196
59,135.06190210279053
60,133.39207830019234
61,131.20746342406042
62,128.96484996632796
63,126.77829628744209
64,124.92301469321546
65,123.31217141979774
66,121.64466003166282
67,119.86772871493997
68,117.99629026618052
69,116.1306901992875
70,114.48471368838025
71,113.20775056489651
72,112.6801932287863
73,112.85821039916644
74,113.95413243321711
75,115.81683409383157
76,118.39209529761796
77,121.82078131332285
78,125.94901540131494
79,130.80655302073993
80,136.12727128591723
81,141.6097579780429
82,147.12728385490584
83,152.68048317348158
84,158.30183541356328
85,163.8817629113688
86,169.45803481865312
87,174.97221892795875
88,180.30739360698038
89,185.38131989461166
90,190.29708890333796
91,195.12234423530748
92,199.86500369878354
93,204.48617025040036
94,209.04651343310286
95,213.51797117639038
96,217.82892493990693
97,222.11904893160695
98,226.1095120264951
99,229.78463387020145
100,232.8671612133149
101,235.26416100802942
102,236.675270402797
103,237.1694048813097
104,236.9655972398112
105,236.49163247150832
106,235.95463043799086
107,235.47830185384262
108,235.15765268959137
109,234.9781787026721
110,234.90586356226706
111,234.87995967441648
112,234.38969204071893
113,233.49328502575858
114,232.7134109227431
115,231.67407430378856
116,230.50976879254623
117,229.00979438181986
118,226.9805390994461
119,224.41553667109582
120,221.2276863091774
121,217.6031347004947
122,213.5912314624042
123,209.66572834385067
124,205.82971648047007
125,202.2057282267411
126,198.8968580814613
127,195.96521176833235
128,193.55408961827044
129,191.80666966403487
130,190.69966412667813
131,190.24455695204315
132,190.5706296872695
133,191.35690027528952
134,192.6485465956319
135,194.31393350829717
136,196.4869463461516
137,199.1283724693517
