,0
0,344.42088965008026
1,649.5223418800219
2,918.8087020298788
3,1154.1534874502431
4,1359.7768964371705
5,1541.0492929216293
6,1698.03575232794
7,1834.0651665846854
8,1950.9755812901153
9,2053.0857105539108
10,2143.057312629994
11,2224.804312776166
12,2298.9297927990583
13,2366.780358603086
14,2428.649096188599
15,2485.394913378269
16,2539.8378798032327
17,2590.522865476829
18,2635.05873636779
19,2673.5081966663784
20,2705.8510008326202
21,2735.0484004082573
22,2760.6560331529413
23,2785.6604986718385
24,2812.0132232715678
25,2839.751982979033
26,2868.408085792319
27,2897.777245586198
28,2928.5989280399217
29,2962.9810157903735
30,3000.0029923876673
31,3038.0989340361266
32,3080.242954631456
33,3125.289389637075
34,3170.4402341977093
35,3215.19678749259
36,3258.1356069369804
37,3300.3812550089956
38,3339.7431332581787
39,3378.0412185192845
40,3415.4938265124147
41,3452.6160254580905
42,3489.858395210548
43,3523.964327393603
44,3555.1567590230406
45,3583.1146104648196
46,3608.623935082829
47,3631.6058219025053
48,3648.8818251404045
49,3659.9969114806863
50,3665.4132114539425
51,3668.042282267296
52,3670.0005355228154
53,3671.1783363855807
54,3670.69660913658
55,3671.768743411885
56,3676.685817546884
57,3680.963672044333
58,3690.7780531303893
59,3707.354008063281
60,3727.2775112907034
61,3750.4153480057994
62,3778.468332111655
63,3808.510484827999
64,3840.8232552188692
65,3873.2308864852
66,3904.7369042727682
67,3935.626179923117
68,3965.7631596775545
69,3995.143268430142
70,4022.2741417926577
71,4047.4276311138715
72,4072.26684874616
73,4097.553911104437
74,4120.681376670884
75,4142.576424458248
76,4162.475541956014
77,4181.792618475183
78,4199.054452884377
79,4214.38673814084
80,4227.394063468872
81,4237.860006382412
82,4246.325959791027
83,4253.3391411614575
84,4258.615438654435
85,4260.483726619924
86,4259.135035450138
87,4253.142454487448
88,4243.811881484559
89,4232.174015977109
90,4219.956728662971
91,4206.781259524472
92,4192.951664785414
93,4177.074151180038
94,4160.181566298048
95,4143.223083012351
96,4127.006731189938
97,4109.28224710278
98,4090.1535918089867
99,4070.70024039735
100,4048.9521347486134
101,4025.433367018625
102,4000.166230528406
103,3974.202920187534
104,3949.4119979237435
105,3926.1969630800572
106,3905.1770377664916
107,3886.577324106514
108,3870.360197808059
109,3858.099242332265
110,3848.257038182122
111,3840.010560533133
112,3832.6008229745003
113,3823.6939879515435
114,3815.945041481571
115,3805.9524833342534
116,3792.7737271355127
117,3774.5589140686025
118,3751.6314561625923
119,3724.507362718575
120,3692.314991121278
121,3653.7268421744016
122,3612.9002001197887
123,3572.651420239653
124,3535.085689842238
125,3499.072836036011
126,3465.005558686689
127,3433.8965718181303
128,3405.9020672473075
129,3379.319385578887
130,3352.4832424016035
131,3326.045278046456
132,3299.168409105032
133,3271.832657674302
134,3243.1634242859836
135,3214.876752629562
136,3188.3499693050258
137,3163.2303392844306
138,3142.798487115737
139,3123.404948347235
140,3107.5627586550395
141,3095.997296007723
142,3086.2130977057695
143,3078.3421770319005
144,3072.6189400516987
145,3068.4670462756726
146,3067.471038933516
147,3070.7521778762243
148,3077.72763504536
149,3088.965204735792
150,3103.658691656805
151,3122.644606056281
152,3143.1637067888887
153,3165.8540622273204
154,3189.2026604971707
155,3215.065860398978
156,3243.4276767206566
157,3273.085008338222
158,3303.360136074036
159,3333.668126219034
160,3364.304598101724
161,3392.6975932680716
162,3419.198835341151
163,3443.764363972946
164,3466.764788465029
165,3488.494297847142
166,3508.5156701135475
167,3527.741182804824
168,3548.2017393834108
169,3570.2791873386604
170,3595.54929244903
171,3617.5342838950514
172,3644.2362008210985
173,3675.773353901315
174,3710.5554217646268
175,3749.5281880727002
176,3791.633322453295
177,3837.059205152646
178,3884.9957301935174
179,3934.4880238012474
180,3984.8240176769896
181,4034.3769655035526
182,4082.774333077934
183,4130.737575505608
184,4177.97268756061
185,4224.018570166122
186,4266.85441243273
187,4307.262441395806
188,4344.501603422364
189,4378.87905855422
190,4411.649523287448
191,4443.265694896778
192,4472.292656637969
193,4497.983025742996
194,4518.880177210957
195,4535.333162254074
196,4547.464229774994
197,4554.22897695085
198,4556.196608781037
199,4553.527480025923
200,4547.378829969914
201,4537.089157034439
202,4522.760025881563
203,4503.332065307792
204,4480.92803629379
205,4455.500269668882
206,4425.548650780763
207,4392.09427630747
208,4353.899075756426
209,4312.259725016352
210,4267.517572780932
211,4218.9362713869195
212,4167.44083003671
213,4112.91626599006
214,4056.6066452216137
215,3997.5180344914284
216,3937.669645621552
217,3876.790019164872
218,3815.1437716091223
219,3752.4774153325984
220,3688.545056247423
221,3624.424785041934
222,3559.4374348609335
223,3494.3238018699717
224,3428.762316475486
225,3362.2976734460553
226,3294.093148355353
227,3223.617406755968
228,3162.3035115645025
229,3099.8603395587825
230,3035.998393491755
231,2972.5005466840075
232,2911.0286914755966
233,2853.5813458080515
234,2800.4283034125865
235,2752.435822528116
236,2707.552363772553
237,2665.817525173279
238,2627.2141935996924
239,2592.80388875402
240,2561.2303464288616
241,2530.2448053610815
242,2501.377576721891
243,2472.555338463663
244,2446.032061757235
245,2423.866152060779
246,2408.72583448241
247,2399.995443633775
248,2398.642023891463
249,2404.0026243363077
250,2415.919780244439
251,2433.4734862155256
252,2454.178494564158
253,2479.1987518632764
254,2506.663115421417
255,2535.6433651697157
256,2566.2916074167288
257,2597.9270674325708
258,2629.704019512196
259,2658.6690945327655
260,2687.2489341745136
261,2716.932558601854
262,2746.342946811595
263,2776.120574107267
264,2805.444205998011
265,2835.0163922676957
266,2864.1955260711434
267,2893.470206824278
268,2923.097029087492
269,2954.271786502596
270,2985.774453693927
271,3016.9180961366724
272,3047.454190479612
273,3078.571466882046
274,3109.600524718683
275,3138.5149957067547
276,3166.9396632136945
277,3193.3818104075553
278,3220.8855699082437
279,3249.6824830150636
280,3277.359531076223
281,3305.1862200495916
282,3330.3888286987485
283,3351.2091627232803
284,3368.8420932858626
285,3384.1827428753086
286,3396.4750136316607
287,3408.2851361062926
288,3419.713205178678
289,3431.894909369636
290,3440.5474312452416
291,3447.4437691716357
292,3451.100135146551
293,3454.776437794186
294,3459.3391909923944
295,3462.3101903645843
296,3465.250118789603
297,3469.017614114573
298,3471.612606760778
299,3473.676933957599
300,3472.245243263373
301,3469.258078251219
302,3464.2786133377253
303,3460.021963222551
304,3456.507957931223
305,3455.8050209945386
306,3454.811468400142
307,3454.1927627897376
308,3456.626593497542
309,3461.05574525185
310,3467.0904820714577
311,3474.5818076589376
312,3482.6182677713064
313,3490.7159328829107
314,3497.7050269157994
315,3504.1320970148645
316,3509.2964113549187
317,3512.427032764159
318,3514.406624565815
319,3513.6112004814067
320,3509.6169517190783
321,3503.6108235798115
322,3493.4318796036755
323,3482.457445798047
324,3470.383665322178
325,3458.154796794431
326,3445.107534715608
327,3430.8044264508917
328,3416.5384712019686
329,3401.4317619033463
330,3383.725661150864
331,3363.314984556449
332,3340.137170083075
333,3314.5586907600673
334,3287.8367179012084
335,3260.642411031869
336,3233.21729402662
337,3204.6070431209737
338,3173.589912231111
339,3141.0334450250266
340,3106.8861709810253
341,3070.840649754447
342,3039.481046287324
343,3004.084304618729
344,2967.765607959873
345,2933.780520717693
346,2901.168629234324
347,2871.9525230800778
348,2847.8977454262313
349,2830.5742096426034
350,2816.7916928606824
351,2805.364059688961
352,2795.606752421263
353,2787.879187018479
354,2781.6232750962176
355,2776.634877825178
356,2772.1563763234003
357,2769.3565943913013
358,2770.746830534506
359,2776.231888423185
360,2784.6059142491545
361,2796.8241154393977
362,2814.0949466357292
363,2835.8062325678115
364,2859.2032693041215
365,2887.9544538168134
366,2919.426554081886
367,2950.091266257056
368,2981.925678148901
369,3012.026778649071
370,3043.3210968819235
371,3075.0337807678948
372,3104.167726431812
373,3132.0774931563756
374,3159.3455939659375
375,3185.374736722973
376,3210.303419284198
377,3234.321706378901
378,3258.271140621605
379,3278.4823526149485
380,3300.2291087016356
381,3320.6450159153155
382,3339.274873624758
383,3354.1655135591523
384,3366.204344124914
385,3376.6626726956374
386,3384.63331673044
387,3390.8924386034114
388,3396.496491808888
389,3401.4844209043526
390,3406.6967003012082
391,3412.1292567274336
392,3416.974681385778
393,3422.275176867839
394,3425.5948199787763
395,3425.6120730603916
396,3422.0496882424018
397,3412.9259141586626
398,3395.5957464856747
399,3380.5185006101756
400,3357.974101961305
401,3330.194665718093
402,3299.5278540309555
403,3266.319712645697
404,3231.3875162060535
405,3195.915931319677
406,3160.7807222368247
407,3124.835085577333
408,3088.016375567421
409,3049.444262521276
410,3008.2776522039935
411,2964.9676802607164
412,2920.710447775226
413,2875.192644888679
414,2830.205758358333
415,2786.196087098075
416,2744.2034213121565
417,2702.782222411948
418,2662.5732841114254
419,2623.7662859275883
420,2585.8198097301947
421,2548.567751337977
422,2513.360981278747
423,2478.6866840409557
424,2446.4393377193246
425,2415.5288444345833
426,2386.9525596427343
427,2360.57757623408
428,2338.472868310101
429,2318.977872271956
430,2303.545154795332
431,2293.256611218508
432,2285.778056661284
433,2280.5541543993636
434,2278.2667069477334
435,2280.836249155011
436,2287.823255653424
437,2298.2457147081045
438,2311.4457148950723
439,2328.766084401753
440,2348.4204109730854
441,2371.4034260266535
442,2397.328118924378
443,2425.0989239458204
444,2455.46013265216
445,2487.423873994456
446,2519.096405396842
447,2552.542181341411
448,2588.525905266304
449,2630.232975287229
450,2675.849142321035
451,2724.4260177967562
452,2774.386320972767
453,2825.316673131432
454,2874.0661088467054
455,2918.5428497616667
456,2957.237614357683
457,2991.27501293911
458,3019.341135028225
459,3046.5999327269396
460,3070.0385178590773
461,3090.744880480665
462,3110.113207886308
463,3125.418719235116
464,3139.585257349248
465,3153.5622545068322
466,3168.0471774482585
467,3183.939841498951
468,3200.0980212087265
469,3213.771736580129
470,3228.5109875316634
471,3241.889779220059
472,3256.819350142453
473,3273.6413479400403
474,3288.39213377911
475,3302.8732746010855
476,3317.259182129731
477,3330.8653709308905
478,3344.7127007352096
479,3358.164982888907
480,3368.747871940864
481,3375.2649720978707
482,3378.7204713897736
483,3384.2462958882215
484,3390.5072070931305
485,3398.1974979780093
486,3406.0814130014173
487,3414.9349841778
488,3421.9436747089553
489,3425.456432454991
490,3425.5465387795593
491,3424.081337330584
492,3421.1219223350404
493,3416.8796664031206
494,3411.077788574075
495,3403.0118876587126
496,3394.825494196644
497,3386.3771996908276
498,3379.355739998445
499,3374.573962871308
500,3369.8741835290125
501,3367.3651721873503
502,3367.9859972486956
503,3370.5168832883955
504,3372.8319988947073
505,3375.373225536484
506,3374.617511203923
507,3373.431683630737
508,3372.1978813519886
509,3373.3482009927225
510,3376.9381024444147
511,3384.5661931834775
512,3395.439219749722
513,3404.8987528623547
514,3416.728130112111
515,3429.072018913599
516,3440.6334163717715
517,3450.265092379262
518,3457.5579238308046
519,3461.3067764154885
520,3462.955568901226
521,3463.547581670159
522,3463.0406362195436
523,3461.9615385731067
524,3457.957642829562
525,3451.5346131706883
526,3445.2197925528853
527,3440.4067083235054
528,3437.026508802678
529,3435.195855818463
530,3432.5628012476636
531,3429.2816301139146
532,3423.054790291678
533,3413.7028449389363
534,3399.9262783910985
535,3384.217098554431
536,3365.19447217496
537,3343.61269723104
538,3320.334915866476
539,3294.028478717059
540,3266.6912946357943
541,3239.456644431198
542,3214.216471674267
543,3192.2012684470055
544,3171.335113370141
545,3152.4075692741385
546,3134.955669158581
547,3117.244141223694
548,3101.7981440004223
549,3086.6784191704096
550,3071.5363015469648
551,3057.2206256767877
552,3043.572752461376
553,3029.809528967093
554,3018.7327331673823
555,3008.5532166472058
556,2998.3697483428127
557,2987.412084067402
558,2975.877899983436
559,2965.2862658912636
560,2955.001544445929
561,2946.701587413093
562,2940.4931626460593
563,2933.587555652746
564,2927.730405033521
565,2924.040819936838
566,2923.672636349703
567,2926.428741119434
568,2934.1982999463385
569,2947.7899454197704
570,2959.614676981656
571,2977.681604801009
572,3000.8964828602366
573,3028.6329859576913
574,3060.729808720085
575,3096.1005995796395
576,3134.60541207509
577,3176.217916319564
578,3220.6209268472403
579,3266.22943042038
580,3311.5390937214793
581,3356.579547424122
582,3401.016549301449
583,3444.4533018030093
584,3488.3125817524897
585,3530.179488340834
586,3571.0665010756884
587,3610.2283629940234
588,3646.353128111194
589,3677.454883883097
590,3704.662330609391
591,3727.7333834044384
592,3746.2653429104735
593,3761.092380138971
594,3771.12746411463
595,3777.916433191357
596,3782.5885304744133
597,3784.3007358306254
598,3785.391767964055
599,3783.011832953353
600,3776.7468235252713
601,3767.2043053956772
602,3754.200680651061
603,3738.165607338623
604,3720.186069596255
605,3702.430052269548
606,3681.9713042896374
607,3659.1719742473747
608,3634.431667901611
609,3607.827112270564
610,3580.5036613653792
611,3552.3466243105995
612,3522.2929106996307
613,3490.072689103132
614,3455.2862317144763
615,3417.8510690550434
616,3377.9228415190337
617,3335.689120494711
618,3290.4832713564033
619,3243.0213761469713
620,3193.110867914054
621,3140.800505921434
622,3086.125898817609
623,3030.4837413582673
624,2973.6782911465225
625,2914.987317497822
626,2855.7548819785607
627,2804.222663076803
628,2751.0750575226716
629,2697.2193685250063
630,2644.7661934408034
631,2593.865690676692
632,2543.788486009493
633,2496.034070581062
634,2452.2686230965674
635,2411.0874090714105
636,2372.3562217248905
637,2332.9367702744544
638,2295.1782834754144
639,2259.3228140771635
640,2225.204413143484
641,2193.7385291672067
642,2165.6138016441178
643,2139.350281210105
644,2118.009768554919
645,2101.6622331426383
646,2088.9737273400383
647,2079.4841702849794
648,2073.85863593189
649,2073.6628568161077
650,2078.24078422021
651,2088.364554233547
652,2103.014188321047
653,2120.7280473814412
654,2140.8795955215724
655,2164.5592803828977
656,2191.1079885395598
657,2220.7205046923823
658,2254.900863767226
659,2292.9198619830017
660,2333.433195251736
661,2377.4425519849533
662,2422.696729424442
663,2468.572927990152
664,2513.947783640604
665,2560.434803662398
666,2605.7536061572027
667,2648.757028034111
668,2690.02006075301
669,2730.2763878284572
670,2771.376439786316
671,2810.9793787268204
672,2851.303966671266
673,2891.582621196698
674,2930.087213326311
675,2967.2592275666093
676,3003.687107239059
677,3038.634355767536
678,3071.9764081573658
679,3100.5019099754695
680,3126.3741289150066
681,3150.6830823506893
682,3174.074067199688
683,3193.485756254307
684,3210.3739257318252
685,3222.5837899832695
686,3232.6133817471
687,3243.19418178109
688,3256.1005129033197
689,3270.5811920559113
690,3286.8135955366047
691,3305.7524638214927
692,3325.168096175846
693,3345.2788957046255
694,3368.2945222264907
695,3392.78653281681
696,3416.270424400251
697,3437.1864184759947
698,3457.4296934836225
699,3476.055591113326
700,3494.1896238514873
701,3510.930275586547
702,3526.2545991380557
703,3540.9530400210424
704,3554.2964802593315
705,3569.1060078708438
706,3583.85201628853
707,3597.808054951023
708,3611.115056076681
709,3623.336416997631
710,3634.369597320192
711,3644.2968508791455
712,3655.4523769627112
713,3666.5005472507087
714,3678.169585834386
715,3687.6302881650886
716,3696.639758588092
717,3703.597984697528
718,3709.2424719076776
719,3715.640231554316
720,3721.502500621934
721,3728.0150609547504
722,3733.2557460073713
723,3739.4581014271103
724,3746.1427938321854
725,3752.1102613629887
726,3756.3611257932844
727,3759.764092567828
728,3762.9168177408046
729,3767.37135465577
730,3773.8517049659517
731,3781.8602817830447
732,3792.1448731479795
733,3804.998047160111
734,3820.1434591395255
735,3835.556963954483
736,3850.0306763666586
737,3861.857148665222
738,3872.683537255435
739,3879.828751061052
740,3883.313366788148
741,3886.344982470722
742,3885.3249820248498
743,3879.4183794716305
744,3870.14249003059
745,3859.5217366715297
746,3849.0537084267016
747,3838.5833596796465
748,3828.1920018324486
749,3815.522785775976
750,3803.0507987074666
751,3792.3466217119744
752,3782.6294460885424
753,3770.2702792214577
754,3755.491485138683
755,3740.6254489124103
756,3726.945574738348
757,3714.5736989546035
758,3703.4167111244647
759,3694.4549776134827
760,3687.122423224723
761,3682.106138648809
762,3680.457594211362
763,3681.0561351045626
764,3681.1157481056516
765,3680.966656531522
766,3681.9855167668443
767,3684.7083685756566
768,3687.131915619698
769,3689.6293740443507
770,3692.5266721662133
771,3694.647173942614
772,3694.7272487952855
773,3693.285470982981
774,3691.6375276832564
775,3689.128147202806
776,3685.184831337969
777,3680.8581222544517
778,3679.2873852452253
779,3678.779266330951
780,3678.564830559882
781,3678.4018020391527
782,3678.093712867304
783,3675.779490046211
784,3674.5348618643784
785,3673.5787750155923
786,3675.286385575964
787,3679.0096277419134
788,3686.0278663375157
789,3692.3748381347214
790,3701.1787439609693
791,3712.557041151533
792,3727.4602597650846
793,3745.685147217044
794,3764.423424372981
795,3783.049744663547
796,3800.542606222108
797,3815.309014358117
798,3828.1557894364455
799,3838.292288007709
800,3845.4362220813587
801,3850.2334286964
802,3854.8016385911974
803,3857.657203838551
804,3860.404970410733
