,0
0,395.93868529539054
1,731.6651174666811
2,1017.2136917609517
3,1260.8115483783988
4,1469.0890609505173
5,1648.1769036967078
6,1801.998652815022
7,1937.6032281780294
8,2054.9596655169207
9,2155.7531156440327
10,2242.943437848582
11,2317.82655968154
12,2381.631233468339
13,2436.465286216467
14,2481.546737349399
15,2518.1667065753018
16,2547.5907626228172
17,2568.963697365802
18,2582.5075572090745
19,2588.0689120849956
20,2589.140858857313
21,2587.0216601206666
22,2583.5179595146283
23,2578.9409532797044
24,2572.3802423707175
25,2563.505440316048
26,2552.685894456506
27,2540.1682785731114
28,2527.9879054990806
29,2515.987514211031
30,2504.4129937026178
31,2495.1563949125843
32,2488.1484745443513
33,2484.482627621977
34,2481.9406342996776
35,2480.487045418543
36,2483.6901811036264
37,2489.2075472317706
38,2497.117601121266
39,2506.91960146435
40,2522.8946067492006
41,2539.4015117595363
42,2556.354038644439
43,2572.8723578054364
44,2589.443009766522
45,2607.5020775472512
46,2624.5517161148077
47,2643.3241859989066
48,2664.715336555743
49,2688.766914786089
50,2713.765658252828
51,2740.389796319687
52,2770.6272247983447
53,2800.86755601677
54,2829.8590389276856
55,2857.8462010054805
56,2882.9733623689667
57,2904.8339927552
58,2921.355310918241
59,2930.574997086376
60,2933.0490298645846
61,2928.3839116360823
62,2918.6495262934345
63,2903.2414880046695
64,2880.671216836026
65,2856.139404987832
66,2830.5315954569764
67,2804.7452845097732
68,2779.3435969280295
69,2754.696905710749
70,2729.7997813627385
71,2706.360188813056
72,2684.973202367647
73,2666.8775061055203
74,2653.434324314756
75,2642.131193486325
76,2633.939379322706
77,2631.2463906915095
78,2628.4114678669785
79,2628.336405581281
80,2631.000423056032
81,2636.3368323744357
82,2642.078480801083
83,2648.459773608715
84,2656.736783798655
85,2666.777861810846
86,2676.4517661889313
87,2684.9517647073253
88,2694.8330474774493
89,2700.953494256192
90,2704.6445189745154
91,2707.337015638264
92,2708.3806498843005
93,2710.215380647534
94,2712.4939198715306
95,2715.4126387067276
96,2719.693332499505
97,2723.565969748747
98,2728.4491379020956
99,2735.043457353125
100,2740.6646018419674
101,2745.6627756187263
102,2750.7394718686237
103,2753.3760500865133
104,2755.359797053372
105,2756.3797090856656
106,2756.224446627744
107,2755.0116203651546
108,2753.5229320605213
109,2751.8651174095776
110,2753.4136221868175
111,2758.3999174246046
112,2767.480413042578
113,2781.628324585242
114,2793.9370076273594
115,2811.5792201889417
116,2834.504824246995
117,2863.473567157509
118,2897.695222548543
119,2936.4674957253014
120,2980.684914575711
121,3029.233961967602
122,3079.0707154161523
123,3129.3833479708583
124,3179.8341202511456
125,3229.6880426201756
126,3279.6209954990404
127,3329.397819789586
128,3379.6062035851855
129,3427.1371135070717
130,3471.051662863625
131,3513.806433794216
132,3555.3217860337495
133,3595.111119008214
134,3633.481908766485
135,3672.8135029500086
136,3710.2209654982234
137,3746.4843205031107
138,3781.113799252435
139,3816.0955998854606
140,3849.1033862388604
141,3880.9906355914445
142,3911.3360524272557
143,3941.4698352431583
144,3971.6064224840266
145,4000.2904065251737
146,4026.8320523535867
147,4053.435788925802
148,4077.884509011622
149,4100.430618915887
150,4121.070501521108
151,4141.051667286038
152,4160.10371436695
153,4176.611954775298
154,4190.067378713233
155,4199.940311179657
156,4205.919172762816
157,4208.722736717738
158,4206.692958937854
159,4201.527004282712
160,4192.284569620814
161,4179.591094628286
162,4164.698120237137
163,4147.154065236282
164,4128.040140677911
165,4106.895529353775
166,4081.828729604675
167,4052.0178476223186
168,4017.1674676450684
169,3977.3548507976166
170,3931.764094774429
171,3892.100137034255
172,3846.177630869541
173,3795.807954441785
174,3741.8403742131363
175,3685.470370958774
176,3628.779007645952
177,3571.2637259351304
178,3513.6959715901903
179,3456.428794899875
180,3399.2574587859385
181,3342.3236513090114
182,3285.6186996693164
183,3229.400267857555
184,3173.5486411817874
185,3119.1903087335945
186,3065.829817087483
187,3012.917201365005
188,2961.1690706325367
189,2910.1350319280436
190,2860.6159419594205
191,2812.6474487629707
192,2767.6804375631787
193,2726.5642789116255
194,2686.5634178325827
195,2649.614818064738
196,2615.178473667726
197,2584.3174245977707
198,2556.3640234565396
199,2531.4130159998226
200,2509.923913301971
201,2490.87654111568
202,2474.807251716993
203,2461.3466804090262
204,2450.7734132019987
205,2442.3604680588032
206,2436.98722526575
207,2434.6218235818233
208,2434.4566900198092
209,2436.1318505105055
210,2439.7758039589194
211,2445.605553862522
212,2452.6713768622712
213,2462.004027082106
214,2475.3412137966843
215,2491.595652223958
216,2512.3199497041833
217,2537.529656936108
218,2566.1824393469756
219,2599.6738294272923
220,2637.6407740503746
221,2680.91912939839
222,2729.0328671193665
223,2781.353876304572
224,2836.791925833274
225,2895.0156360590677
226,2955.095398489581
227,3016.5213293564143
228,3069.96188921056
229,3126.8725697879995
230,3183.4205825112467
231,3239.0201935012324
232,3292.281185398571
233,3344.091871650279
234,3392.353897633234
235,3437.3191319311236
236,3478.5751349353586
237,3516.492681377544
