,0
0,396.4610319757498
1,733.4425158673504
2,1019.8490739131047
3,1264.0936178399365
4,1473.0257557108748
5,1652.622616363873
6,1806.874624234952
7,1942.8662172100428
8,2060.4272693958774
9,2161.6747938025524
10,2249.591395662348
11,2325.852243820178
12,2391.2238252367106
13,2448.17397536677
14,2495.710483822089
15,2534.6373464028698
16,2565.505544926139
17,2587.050355528806
18,2600.306861445432
19,2605.2759218227447
20,2604.708691104058
21,2600.702849097463
22,2595.211031431037
23,2588.7665543667463
24,2580.877472631251
25,2570.764485425525
26,2558.869722256771
27,2545.5534415622797
28,2533.0688200646446
29,2521.1886277243334
30,2510.0150427498907
31,2501.2994962696157
32,2495.2190406873783
33,2492.5655236313496
34,2491.3296240415307
35,2491.15458918476
36,2495.319439010443
37,2501.7638777129946
38,2510.301290862839
39,2520.2807038700194
40,2536.165593535257
41,2552.6156866931447
42,2569.920451915866
43,2587.1061689291487
44,2604.110337260651
45,2622.489194886496
46,2640.0363634334644
47,2659.4199056915245
48,2681.3313644416035
49,2705.7172142313225
50,2731.2694808997394
51,2758.062452054148
52,2788.063775341916
53,2817.938901981297
54,2846.4212419144164
55,2873.9462438817573
56,2898.35547996682
57,2919.591515360825
58,2935.0743667290617
59,2943.4629683841727
60,2945.1025090099106
61,2939.789413057982
62,2929.4530524113343
63,2913.636883102226
64,2891.174828094559
65,2866.835250267068
66,2841.3242290489998
67,2815.439974739859
68,2789.57757596287
69,2764.0100848662473
70,2737.935547054304
71,2713.1861512955184
72,2690.2938291545506
73,2670.79361386731
74,2656.245725857427
75,2644.2858889198988
76,2635.605340290017
77,2632.7071967161082
78,2630.2267380767207
79,2631.097650419948
80,2634.945890427828
81,2641.6928361844925
82,2649.317141239711
83,2657.6320040279165
84,2667.9693391676733
85,2679.864569554542
86,2691.2972725658587
87,2700.8847289897935
88,2711.346756129299
89,2717.2871334195006
90,2720.4364026949033
91,2722.574606107653
92,2723.3837418248927
93,2725.0535743931337
94,2727.0696677081605
95,2729.8477445396798
96,2734.235918667034
97,2738.4343257139585
98,2743.894771463422
99,2751.299910676499
100,2757.709473313693
101,2763.348034619667
102,2768.978930796968
103,2771.8059161841193
104,2773.7817896467773
105,2774.142959279283
106,2772.830647041972
107,2769.8373940624265
108,2766.2218076496665
109,2762.5908321834877
110,2762.739552832737
111,2766.7883004952077
112,2775.5839479924416
113,2789.9964427065465
114,2802.5353131078177
115,2820.65693144683
116,2844.24397604254
117,2873.803046975397
118,2909.0211291296196
119,2949.0251517055463
120,2994.2820557045657
121,3043.468959885291
122,3093.6711505709663
123,3144.2618978845694
124,3195.172260458862
125,3245.586146735853
126,3296.3475799421076
127,3347.102124992106
128,3398.53252949927
129,3447.370599149003
130,3492.5212749934594
131,3536.188593898813
132,3578.2031189446075
133,3618.188788532521
134,3656.586040348423
135,3695.9014181446746
136,3733.3047914421713
137,3769.55301540847
138,3804.3095769197507
139,3839.449137987168
140,3872.6158941441154
141,3904.510434829617
142,3934.5081646945705
143,3964.1135652318503
144,3993.484000857368
145,4021.3927561201554
146,4047.261422640535
147,4073.1742319786445
148,4096.971814090313
149,4118.913850091101
150,4139.081132816165
151,4158.882535678009
152,4178.01571286271
153,4194.631961270295
154,4208.30774971891
155,4218.313564303266
156,4224.389673822108
157,4227.229979531836
158,4224.94544278784
159,4219.126922777427
160,4208.944220075744
161,4195.138999990455
162,4179.0858400637235
163,4160.298177509567
164,4139.9155863535825
165,4117.3347948094315
166,4090.744871416861
167,4059.3970987022535
168,4023.031786304325
169,3981.97765334852
170,3935.284129895382
171,3894.660764491152
172,3848.079813712818
173,3797.1525899075514
174,3742.76101083629
175,3685.9669578231
176,3629.006545600511
177,3571.061936855602
178,3512.999990310838
179,3455.256471404237
180,3397.790306243018
181,3340.743985228122
182,3284.277409273396
183,3228.602720031429
184,3173.5356458184074
185,3120.2374833226995
186,3068.1796963440343
187,3016.5923551953388
188,2966.1089262927294
189,2916.1827102609163
190,2867.5492438655347
191,2820.117570664946
192,2775.462126177968
193,2734.684385367186
194,2695.14785424697
195,2658.830759562821
196,2625.0585714138056
197,2594.7727500036826
198,2567.4852224939573
199,2543.322140046741
200,2522.6149267951223
201,2504.188806580351
202,2488.486922803745
203,2475.3718147393893
204,2464.930829512827
205,2456.5276623307013
206,2451.048987854432
207,2448.6084524803605
208,2448.300886452913
209,2449.621228522343
210,2452.6081677061334
211,2457.711807651954
212,2464.3121474646873
213,2473.290300868781
214,2486.4686742364115
215,2502.560425199119
216,2523.223175954824
217,2548.494368531138
218,2577.13117799506
219,2610.6122549025254
220,2648.7593211314565
221,2692.402360074093
222,2741.0339871052483
223,2793.9298910218513
224,2850.171547164425
225,2909.388990825299
226,2970.6128187529357
227,3033.24016853561
228,3087.7259628465367
229,3145.446597203754
230,3202.848676314053
231,3259.1686493400102
232,3313.130967415554
233,3365.300213682261
234,3413.70677771604
235,3458.582078572933
236,3499.549433472244
237,3536.8920281274677
238,3571.827621292406
239,3603.2744335801176
240,3630.8227755421085
241,3656.0577216175266
242,3678.993602047944
243,3699.703954382657
244,3720.3294399834617
245,3740.9458390156387
246,3762.695465750656
247,3785.208624202412
248,3807.108992298004
249,3827.5118237229294
250,3846.5614806791796
251,3864.373610370807
252,3880.010068121889
253,3893.707763762818
254,3906.3550345297203
255,3920.1867932482196
256,3935.2613756464766
257,3949.5572044657742
