,0
0,418.3532851677519
1,788.2705353975252
2,1114.1426326193039
3,1398.6048836574457
4,1646.0813700280337
5,1863.049488479066
6,2049.707778940094
7,2210.214742693903
8,2346.755020383337
9,2464.8096775069125
10,2567.9053279949185
11,2661.819064979659
12,2747.2847599690135
13,2825.8658284506787
14,2897.7610433384352
15,2964.376794675972
16,3029.0688715975393
17,3090.9020951216235
18,3148.2106609220186
19,3202.0738676016
20,3252.365413733662
21,3301.9154595763894
22,3349.5815302813076
23,3397.551600843035
24,3446.637085951031
25,3495.507490200984
26,3543.3905210065695
27,3590.280351670306
28,3636.8530510280916
29,3685.504125024858
30,3735.3244690824445
31,3784.2376700788077
32,3835.36326654404
33,3887.974547914416
34,3939.561337586859
35,3989.9774523789665
36,4037.709911986177
37,4084.472538637406
38,4128.06142989298
39,4170.726702586118
40,4212.590067806716
41,4253.899503064143
42,4295.1324957778725
43,4332.205315951998
44,4365.375758576633
45,4394.2288969243355
46,4420.236106705463
47,4443.797857905828
48,4461.237647834589
49,4471.723429686571
50,4475.403809506979
51,4475.552272028652
52,4474.779498556999
53,4473.213175493343
54,4469.900794897417
55,4468.50047116048
56,4471.418160500785
57,4473.9565502268515
58,4482.619668354711
59,4499.280638241051
60,4519.982041534361
61,4544.842140943791
62,4575.964210024995
63,4609.93834995516
64,4647.400406899678
65,4685.949056305507
66,4724.233429775996
67,4762.464087313536
68,4799.921685520416
69,4836.552345427286
70,4870.40497824625
71,4902.1422214244485
72,4933.701840107401
73,4966.248439397099
74,4996.2330824557375
75,5024.532268684321
76,5049.841217410565
77,5074.18042828739
78,5095.744025878798
79,5114.944397483679
80,5131.532284860651
81,5145.502343444285
82,5157.916122961997
83,5169.245534117512
84,5179.200853234479
85,5185.8046522906525
86,5189.63082301598
87,5188.534740448748
88,5183.553885484996
89,5175.46845086802
90,5166.249833867121
91,5155.328135441332
92,5143.004588250928
93,5127.779190123716
94,5111.144838949498
95,5094.636430640922
96,5079.328528598275
97,5062.592639809539
98,5044.214410868093
99,5025.429885865104
100,5003.8746660241595
101,4979.944247492317
102,4953.536003562922
103,4925.516744824449
104,4898.245867775253
105,4872.136203562587
106,4848.120666270455
107,4826.684974816345
108,4808.141342315349
109,4794.432415833413
110,4783.693548269713
111,4774.886141414783
112,4766.769828806322
113,4756.744840162513
114,4748.023100042401
115,4736.732090169409
116,4721.8554679185
117,4700.848402911771
118,4673.718506507664
119,4641.2588550567625
120,4601.922352022009
121,4553.845981229916
122,4502.04748240008
123,4450.574457329686
124,4402.040074802602
125,4354.834949067714
126,4309.272912639573
127,4266.482447480474
128,4226.815345273715
129,4188.94627755111
130,4151.537516074787
131,4116.222125733391
132,4082.8623518426457
133,4051.895873775778
134,4021.9149638938043
135,3994.4594323885926
136,3971.142931073749
137,3950.4957317518442
138,3935.177477488716
139,3919.354977292963
